,title,price,mpg,rating
322,2020 BMW 2 Series,"$36,295",27 MPG,4.5 / 5
323,2020 BMW 4 Series,"$45,945",27 MPG,4.1 / 5
324,2019 BMW 6 Series,"$82,495",23 MPG,3.7 / 5
325,2020 BMW 8 Series,"$88,895",25 MPG,
326,2019 BMW i8,"$148,495",27 MPG,
327,2020 BMW M2,"$59,895",20 MPG,4.5 / 5
328,2019 BMW M4,"$70,145",20 MPG,4.1 / 5
329,2019 BMW M6,"$122,195",16 MPG,
330,2020 BMW Z4,"$50,695",27 MPG,4.4 / 5
331,2020 BMW 4 Series,"$45,745",27 MPG,4.1 / 5
332,2019 BMW 6 Series,"$71,295",23 MPG,3.7 / 5
333,2019 BMW i3,"$45,445",113 MPGe,4.5 / 5
334,2020 BMW 2 Series,"$42,095",27 MPG,4.5 / 5
335,2020 BMW 4 Series,"$54,095",27 MPG,4.1 / 5
336,2020 BMW 8 Series,"$98,395",24 MPG,
337,2019 BMW i8,"$164,295",27 MPG,
338,2019 BMW M4,"$78,645",20 MPG,4.1 / 5
339,2020 BMW Z4,"$50,695",27 MPG,4.4 / 5
340,2020 Audi A3,"$34,295",30 MPG,4.6 / 5
341,2020 Audi A4,"$38,395",30 MPG,4.7 / 5
342,2020 Audi A5,"$43,895",27 MPG,4.8 / 5
343,2020 Audi A6,"$55,895",27 MPG,4.6 / 5
344,2021 Audi A7,"$70,245",24 MPG,4.6 / 5
345,2019 Audi RS 5,"$75,195",20 MPG,4.8 / 5
346,2020 Audi S3,"$43,995",25 MPG,4.6 / 5
347,2020 Audi S4,"$50,895",23 MPG,4.7 / 5
348,2020 Audi S8,"$130,495",16 MPG,
349,2019 Audi e-tron,"$75,795",74 MPGe,
350,2020 Audi Q3,"$35,695",22 MPG,4.8 / 5
351,2021 Audi Q5,"$44,395",25 MPG,4.7 / 5
352,2020 Audi Q7,"$55,795",21 MPG,4.7 / 5
353,2021 Audi Q8,"$69,295",20 MPG,4.7 / 5
354,2020 Audi SQ5,"$53,895",20 MPG,4.7 / 5
355,2020 Audi Q3,"$35,695",22 MPG,4.8 / 5
356,2021 Audi Q5,"$44,395",25 MPG,4.7 / 5
357,2020 Audi Q7,"$55,795",21 MPG,4.7 / 5
358,2021 Audi Q8,"$69,295",20 MPG,4.7 / 5
359,2020 Audi SQ5,"$53,895",20 MPG,4.7 / 5
360,2020 Audi A3,"$34,295",30 MPG,4.6 / 5
361,2020 Audi A4,"$38,395",30 MPG,4.7 / 5
362,2019 Audi A4 allroad,"$46,695",25 MPG,4.5 / 5
